unix_ts,real_ts,HR,Ax,Ay,Az
1472638697,2016/08/31-19:18:17,1,0.004785645287483931,0.3732803165912628,9.839285850524902
1472638700,2016/08/31-19:18:20,1,0.016749758273363113,0.2991028428077698,9.906286239624023
1472638746,2016/08/31-19:19:06,1,-0.05503492057323456,0.22971096634864807,9.820144653320312
1472638747,2016/08/31-19:19:07,1,-0.08374878764152527,0.2153540551662445,9.767501831054688
1472638748,2016/08/31-19:19:08,1,-0.08853443711996078,0.2153540551662445,9.82971477508545
1472638749,2016/08/31-19:19:09,1,-0.0263210479170084,0.22013968229293823,9.927821159362793
1472638821,2016/08/31-19:20:21,145,-1.2586246728897095,5.414957523345947,7.477570533752441
1472638822,2016/08/31-19:20:22,143,-1.887937068939209,6.063412666320801,7.226324081420898
1472638823,2016/08/31-19:20:23,141,-1.9118653535842896,6.293124198913574,7.106683254241943
1472638824,2016/08/31-19:20:24,141,-1.9764715433120728,6.20219612121582,6.891329765319824
1472638825,2016/08/31-19:20:25,141,-2.0745770931243896,6.597012042999268,7.6043901443481445
1472638826,2016/08/31-19:20:26,140,-1.8616160154342651,6.307480335235596,7.29093074798584
1472638827,2016/08/31-19:20:27,141,-1.7611174583435059,6.374479293823242,7.3052873611450195
1472638828,2016/08/31-19:20:28,141,-1.9214365482330322,6.245267391204834,7.271787643432617
1472638849,2016/08/31-19:20:49,134,-1.2921242713928223,6.317051887512207,7.168896198272705
1472638850,2016/08/31-19:20:50,134,-1.3280165195465088,6.386443614959717,7.47517728805542
1472638851,2016/08/31-19:20:51,135,-1.3663017749786377,6.233303070068359,7.209574222564697
1472638859,2016/08/31-19:20:59,0,-2.1272192001342773,6.106483459472656,6.752545356750488
1472638860,2016/08/31-19:21:00,0,-2.1104695796966553,6.269195556640625,6.912864685058594
1472638861,2016/08/31-19:21:01,0,-2.565105676651001,5.862415313720703,6.766902446746826
1472638862,2016/08/31-19:21:02,0,-2.5914268493652344,6.175874710083008,6.917649745941162
1472638863,2016/08/31-19:21:03,0,-2.6967110633850098,6.27158784866333,7.137789726257324
1472638864,2016/08/31-19:21:04,0,-3.4887356758117676,7.326822757720947,5.42692232131958
1472638865,2016/08/31-19:21:05,0,-3.649054527282715,7.317252159118652,5.264209270477295
1472638866,2016/08/31-19:21:06,0,-3.6466617584228516,7.678568363189697,5.50349235534668
1472639099,2016/08/31-19:24:59,73,-0.9762716889381409,7.432106971740723,4.47697114944458
1472639100,2016/08/31-19:25:00,74,-0.7130610942840576,7.472784996032715,6.1399827003479
1472639101,2016/08/31-19:25:01,74,-0.28953152894973755,7.393822193145752,6.680760860443115
1472639104,2016/08/31-19:25:04,73,0.5766702890396118,7.245467185974121,5.917449951171875
1472639105,2016/08/31-19:25:05,73,0.6771688461303711,7.144968032836914,6.393621921539307
1472639106,2016/08/31-19:25:06,73,0.6795615553855896,7.080362319946289,6.786045074462891
1472639107,2016/08/31-19:25:07,73,0.6556334495544434,7.17368221282959,6.587440490722656
1472639108,2016/08/31-19:25:08,73,0.5024927258491516,7.243074417114258,6.836294651031494
1472639109,2016/08/31-19:25:09,73,0.3086740970611572,7.1473612785339355,6.999006271362305
1472639110,2016/08/31-19:25:10,73,0.6532405614852905,6.702296257019043,5.711667537689209
1472639111,2016/08/31-19:25:11,73,0.8207381367683411,7.130610942840576,6.63051176071167
1472639112,2016/08/31-19:25:12,73,0.6364907622337341,7.1401824951171875,6.73818826675415
1472639113,2016/08/31-19:25:13,73,0.4618147313594818,7.3052873611450195,6.781259536743164
1472639266,2016/08/31-19:27:46,0,-4.256831645965576,-1.1629117727279663,8.769694328308105
1472639267,2016/08/31-19:27:47,0,-3.7950167655944824,-1.3639088869094849,8.980262756347656
